"DEP","ESS","famille","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Ensemble","Toutes entreprises","2259841","1802589","22854619","21221804","761748237301"
"France entière","ESS + Hors ESS","Ensemble","1 - Micro entreprise","1868746","1552174","4296861","4202057","128034090541"
"France entière","ESS + Hors ESS","Ensemble","2 - Petites entreprises","311425","202777","5817061","5310213","180668536789"
"France entière","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","69272","41734","6239845","5678385","207671662635"
"France entière","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","10398","5904","6500852","6031149","245373947336"
"France entière","ESS","Ensemble","Toutes entreprises","211379","157726","2340650","2053268","65145282426"
"France entière","Hors ESS","Ensemble","Toutes entreprises","2048462","1644863","20513969","19168537","696602954875"
"France entière","ESS","Ensemble","1 - Micro entreprise","159792","128025","309196","308029","9671260787"
"France entière","ESS","Ensemble","2 - Petites entreprises","39811","23549","768736","651991","20214205198"
"France entière","ESS","Ensemble","3 - Moyennes entreprises","11040","5726","901253","769170","22617583729"
"France entière","ESS","Ensemble","4 - Grandes entreprises","736","426","361465","324078","12642232712"
"France entière","Hors ESS","Ensemble","1 - Micro entreprise","1708954","1424149","3987665","3894027","118362829754"
"France entière","Hors ESS","Ensemble","2 - Petites entreprises","271614","179228","5048325","4658223","160454331591"
"France entière","Hors ESS","Ensemble","3 - Moyennes entreprises","58232","36008","5338592","4909215","185054078906"
"France entière","Hors ESS","Ensemble","4 - Grandes entreprises","9662","5478","6139387","5707072","232731714624"
"France entière","ESS + Hors ESS","1. Coopérative","Toutes entreprises","20622","7915","300698","292623","12295881971"
"France entière","ESS + Hors ESS","2. Mutuelle","Toutes entreprises","7479","664","136906","123909","5044000821"
"France entière","ESS + Hors ESS","3. Association","Toutes entreprises","181598","148646","1814171","1557168","45139891153"
"France entière","ESS + Hors ESS","4. Fondation","Toutes entreprises","1680","501","88875","79568","2665508481"
"France entière","ESS + Hors ESS","Privé Hors ESS","Toutes entreprises","1906437","1579597","14828160","13905244","519263022427"
"France entière","ESS + Hors ESS","Public","Toutes entreprises","142025","65266","5685809","5263292","177339932448"
"France entière","ESS + Hors ESS","1. Coopérative","1 - Micro entreprise","15904","5857","54392","56348","2213629250"
"France entière","ESS + Hors ESS","1. Coopérative","2 - Petites entreprises","3935","1617","69122","65923","2583643864"
"France entière","ESS + Hors ESS","1. Coopérative","3 - Moyennes entreprises","590","351","55566","52173","2035381274"
"France entière","ESS + Hors ESS","1. Coopérative","4 - Grandes entreprises","193","90","121618","118180","5463227583"
"France entière","ESS + Hors ESS","2. Mutuelle","1 - Micro entreprise","5347","353","17583","17561","710518864"
"France entière","ESS + Hors ESS","2. Mutuelle","2 - Petites entreprises","1501","195","29581","25971","1009730717"
"France entière","ESS + Hors ESS","2. Mutuelle","3 - Moyennes entreprises","556","91","52193","46159","1724146611"
"France entière","ESS + Hors ESS","2. Mutuelle","4 - Grandes entreprises","75","25","37549","34218","1599604629"
"France entière","ESS + Hors ESS","3. Association","1 - Micro entreprise","137962","121553","235255","231886","6669327752"
"France entière","ESS + Hors ESS","3. Association","2 - Petites entreprises","33801","21622","655555","547418","16218211753"
"France entière","ESS + Hors ESS","3. Association","3 - Moyennes entreprises","9417","5183","752861","635091","17761493429"
"France entière","ESS + Hors ESS","3. Association","4 - Grandes entreprises","418","288","170500","142772","4490858219"
"France entière","ESS + Hors ESS","4. Fondation","1 - Micro entreprise","579","262","1966","2235","77784921"
"France entière","ESS + Hors ESS","4. Fondation","2 - Petites entreprises","574","115","14478","12678","402618864"
"France entière","ESS + Hors ESS","4. Fondation","3 - Moyennes entreprises","477","101","40633","35748","1096562415"
"France entière","ESS + Hors ESS","4. Fondation","4 - Grandes entreprises","50","23","31798","28908","1088542281"
"France entière","ESS + Hors ESS","Privé Hors ESS","1 - Micro entreprise","1627834","1388721","3699216","3628699","109845957310"
"France entière","ESS + Hors ESS","Privé Hors ESS","2 - Petites entreprises","231434","163831","4261765","3933440","136911683468"
"France entière","ESS + Hors ESS","Privé Hors ESS","3 - Moyennes entreprises","41207","24029","3779130","3470557","135722139902"
"France entière","ESS + Hors ESS","Privé Hors ESS","4 - Grandes entreprises","5962","3016","3088049","2872549","136783241747"
