"REG","ESS_simp","typo_B","typo_B_det","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Tous établissements","2259841","1802589","22854619","21221804","761748237301"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","1893539","1571497","4476433","4356606","132299010045"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","292576","187521","5874918","5349398","181886796006"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","64358","38256","6192990","5638743","206967669557"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","9368","5315","6310278","5877057","240594761693"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","8773","4881","90254","77186","1874439084"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","8436","6522","248839","179305","3982913604"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","2353","567","166145","141762","2498494420"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","16353","9796","320986","273336","7679946347"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Tous établissements","13832","12672","66357","53062","1742639980"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Tous établissements","65450","16480","1454379","1344501","48141471512"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Tous établissements","21370","16382","134565","118489","3886219601"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","17004","6852","715335","632493","17732762365"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","5594","3355","24588","21764","495311839"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","3070","1466","54319","46071","1121062152"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","102","59","s","s","s"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","7","1","s","s","s"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","2822","2162","s","s","s"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","4486","3545","108335","74812","1649140752"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","1044","748","s","s","s"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","84","67","41109","30497","677817878"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","339","124","s","s","s"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","780","206","20604","17608","409696299"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","1180","224","127087","107403","1791820096"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","54","13","s","s","s"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","1 - Micro entreprise","9344","5997","29229","27582","797391815"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","2 - Petites entreprises","5640","2918","121559","100533","2856853431"
