"REG","typo_Asso","typo_Asso_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","181598","1814171","1557168","45139891153"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","847","11028","9213","252100842"
"France entière","Ensemble","Accueil d enfants et d adolescents","642","13415","11331","345673422"
"France entière","Ensemble","Accueil d enfants handicapes","1093","23912","19345","617500991"
"France entière","Ensemble","Accueil des jeunes enfants","3780","38624","33032","800326939"
"France entière","Ensemble","Action sociale NCA","8783","135565","111939","3043145376"
"France entière","Ensemble","Aide a domicile","4369","158463","115351","2619457674"
"France entière","Ensemble","Aide par le travail","2057","147721","127783","2181979105"
"France entière","Ensemble","Autres enseignements","4920","25224","20673","667815503"
"France entière","Ensemble","Enseignement culturel","2564","8628","4975","142224891"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","9000","241451","215717","7385139097"
"France entière","Ensemble","Formation continue d adultes","3331","31197","27889","924479401"
"France entière","Ensemble","Hebergement medico-social de personnes agees","2324","100639","86822","2393678982"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","3444","79598","69201","2042822543"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","4355","177350","154109","4379355511"
"France entière","Ensemble","Loisirs","3095","19083","15672","389272695"
"France entière","Ensemble","Sports","31929","63239","50440","1419646682"
"France entière","ACTION SOCIALE (QB)","Ensemble","31694","886315","738125","18676041385"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","601","4479","3819","90635008"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","21363","31362","35656","1133551535"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","9468","63411","54287","1769731133"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","19967","307934","270466","9154539068"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3211","22002","22715","617125772"
"France entière","NON-CLASSES (94.99Z)","Ensemble","44397","164066","140055","4121882622"
"France entière","SANTE HUMAINE (QA)","Ensemble","3811","131457","113459","4331646143"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","12062","120823","112474","3435819110"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","35024","82322","66112","1808919377"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","847","11028","9213","252100842"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","642","13415","11331","345673422"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","1093","23912","19345","617500991"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","3780","38624","33032","800326939"
"France entière","ACTION SOCIALE (QB)","Action sociale NCA","8783","135565","111939","3043145376"
"France entière","ACTION SOCIALE (QB)","Aide a domicile","4369","158463","115351","2619457674"
"France entière","ACTION SOCIALE (QB)","Aide par le travail","2057","147721","127783","2181979105"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes agees","2324","100639","86822","2393678982"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes en difficulte","3444","79598","69201","2042822543"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes handicapees","4355","177350","154109","4379355511"
"France entière","ENSEIGNEMENT (PZ)","Autres enseignements","4920","25224","20673","667815503"
"France entière","ENSEIGNEMENT (PZ)","Enseignement culturel","2564","8628","4975","142224891"
"France entière","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","9000","241451","215717","7385139097"
"France entière","ENSEIGNEMENT (PZ)","Formation continue d adultes","3331","31197","27889","924479401"
"France entière","SPORTS ET LOISIRS (RZ2)","Loisirs","3095","19083","15672","389272695"
"France entière","SPORTS ET LOISIRS (RZ2)","Sports","31929","63239","50440","1419646682"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","24001","232242","196271","5558003634"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","7816","76300","64265","1766114547"
"Bretagne","Ensemble","Ensemble","10583","107243","93095","2659437150"
"Centre-Val de Loire","Ensemble","Ensemble","7382","61509","52032","1397018493"
"Corse","Ensemble","Ensemble","907","6373","5520","148346332"
"Grand-Est","Ensemble","Ensemble","12806","150004","126931","3471252606"
"Guadeloupe","Ensemble","Ensemble","921","9280","8156","235662869"
"Guyane","Ensemble","Ensemble","380","4051","3705","123300838"
"Hauts-de-France","Ensemble","Ensemble","12584","167709","142849","3980190515"
"Ile-de-France","Ensemble","Ensemble","29863","303733","265926","9136851127"
"La Réunion","Ensemble","Ensemble","1892","18780","16626","465111362"
"Martinique","Ensemble","Ensemble","915","9673","8158","241921161"
"Normandie","Ensemble","Ensemble","8519","88885","75074","2033074320"
"Nouvelle-Aquitaine","Ensemble","Ensemble","17855","159589","138451","3769963473"
"Occitanie","Ensemble","Ensemble","18621","164294","140930","3857930690"
"Pays de la Loire","Ensemble","Ensemble","12618","125515","106189","3023731071"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","13935","128991","112990","3271980965"
"Auvergne-Rhône-Alpes","Ensemble","Accueil d adultes handicapes ou pers. agees","128","1276","1005","29125428"
"Auvergne-Rhône-Alpes","Ensemble","Accueil d enfants et d adolescents","80","1256","1041","31729255"
"Auvergne-Rhône-Alpes","Ensemble","Accueil d enfants handicapes","118","2423","1852","57639877"
"Auvergne-Rhône-Alpes","Ensemble","Accueil des jeunes enfants","633","6489","5460","134415053"
"Auvergne-Rhône-Alpes","Ensemble","Action sociale NCA","1064","16239","13228","356282507"
"Auvergne-Rhône-Alpes","Ensemble","Aide a domicile","625","19946","14358","325311516"
"Auvergne-Rhône-Alpes","Ensemble","Aide par le travail","281","19412","16746","286871814"
"Auvergne-Rhône-Alpes","Ensemble","Autres enseignements","566","3565","2856","91154287"
"Auvergne-Rhône-Alpes","Ensemble","Enseignement culturel","403","1486","815","21730856"
"Auvergne-Rhône-Alpes","Ensemble","Enseignement primaire/secondaire/supérieur","1244","33711","29684","997948219"
"Auvergne-Rhône-Alpes","Ensemble","Formation continue d adultes","345","3119","2804","93011470"
"Auvergne-Rhône-Alpes","Ensemble","Hebergement medico-social de personnes agees","292","13285","11316","312647463"
"Auvergne-Rhône-Alpes","Ensemble","Hebergement medico-social de personnes en difficulte","472","9197","7774","227918599"
"Auvergne-Rhône-Alpes","Ensemble","Hebergement medico-social de personnes handicapees","547","22639","19534","551831635"
"Auvergne-Rhône-Alpes","Ensemble","Loisirs","491","2152","1803","42901504"
"Auvergne-Rhône-Alpes","Ensemble","Sports","4539","8257","6343","167273908"
"Bourgogne-Franche-Comté","Ensemble","Accueil d adultes handicapes ou pers. agees","66","650","510","13967195"
"Bourgogne-Franche-Comté","Ensemble","Accueil d enfants et d adolescents","33","631","537","15913602"
"Bourgogne-Franche-Comté","Ensemble","Accueil d enfants handicapes","55","1109","898","29295195"
"Bourgogne-Franche-Comté","Ensemble","Accueil des jeunes enfants","109","846","663","15859861"
"Bourgogne-Franche-Comté","Ensemble","Action sociale NCA","420","5050","4033","104391225"
"Bourgogne-Franche-Comté","Ensemble","Aide a domicile","330","8411","6082","141455728"
"Bourgogne-Franche-Comté","Ensemble","Aide par le travail","81","7201","6133","105451327"
"Bourgogne-Franche-Comté","Ensemble","Autres enseignements","126","818","697","21931458"
"Bourgogne-Franche-Comté","Ensemble","Enseignement culturel","81","s","181","4992448"
"Bourgogne-Franche-Comté","Ensemble","Enseignement primaire/secondaire/supérieur","289","7453","6671","219929409"
"Bourgogne-Franche-Comté","Ensemble","Formation continue d adultes","121","917","853","25269751"
"Bourgogne-Franche-Comté","Ensemble","Hebergement medico-social de personnes agees","110","4526","3890","106039191"
"Bourgogne-Franche-Comté","Ensemble","Hebergement medico-social de personnes en difficulte","168","4083","3504","101897843"
"Bourgogne-Franche-Comté","Ensemble","Hebergement medico-social de personnes handicapees","225","8112","6927","196545732"
"Bourgogne-Franche-Comté","Ensemble","Loisirs","143","s","442","10296101"
"Bourgogne-Franche-Comté","Ensemble","Sports","1226","s","1649","39065010"
"Bretagne","Ensemble","Accueil d adultes handicapes ou pers. agees","37","333","298","9357826"
"Bretagne","Ensemble","Accueil d enfants et d adolescents","21","531","442","12538997"
"Bretagne","Ensemble","Accueil d enfants handicapes","50","1077","885","28530773"
"Bretagne","Ensemble","Accueil des jeunes enfants","131","1316","1123","27047005"
"Bretagne","Ensemble","Action sociale NCA","292","4662","3813","104783470"
"Bretagne","Ensemble","Aide a domicile","266","9260","6963","163017192"
"Bretagne","Ensemble","Aide par le travail","116","9145","7748","133253593"
"Bretagne","Ensemble","Autres enseignements","260","788","646","19294003"
"Bretagne","Ensemble","Enseignement culturel","175","567","333","9241226"
"Bretagne","Ensemble","Enseignement primaire/secondaire/supérieur","1216","24908","22782","747951607"
"Bretagne","Ensemble","Formation continue d adultes","178","1444","1233","40207569"
"Bretagne","Ensemble","Hebergement medico-social de personnes agees","130","6617","5631","151482367"
"Bretagne","Ensemble","Hebergement medico-social de personnes en difficulte","99","2628","2264","66959275"
"Bretagne","Ensemble","Hebergement medico-social de personnes handicapees","221","8937","7783","216997148"
"Bretagne","Ensemble","Loisirs","164","699","614","14871276"
"Bretagne","Ensemble","Sports","2148","3362","2692","69054670"
"Centre-Val de Loire","Ensemble","Accueil d adultes handicapes ou pers. agees","36","524","453","12696073"
"Centre-Val de Loire","Ensemble","Accueil d enfants et d adolescents","26","404","366","11097500"
"Centre-Val de Loire","Ensemble","Accueil d enfants handicapes","52","1041","848","27825816"
"Centre-Val de Loire","Ensemble","Accueil des jeunes enfants","81","476","415","9868880"
"Centre-Val de Loire","Ensemble","Action sociale NCA","311","5261","4210","102531745"
"Centre-Val de Loire","Ensemble","Aide a domicile","228","7197","5249","120250536"
"Centre-Val de Loire","Ensemble","Aide par le travail","116","7062","6214","109530646"
"Centre-Val de Loire","Ensemble","Autres enseignements","178","652","512","14947617"
"Centre-Val de Loire","Ensemble","Enseignement culturel","120","346","169","4501266"
"Centre-Val de Loire","Ensemble","Enseignement primaire/secondaire/supérieur","286","6763","5828","199345962"
"Centre-Val de Loire","Ensemble","Formation continue d adultes","102","851","754","24672565"
"Centre-Val de Loire","Ensemble","Hebergement medico-social de personnes agees","80","2477","2149","59179851"
"Centre-Val de Loire","Ensemble","Hebergement medico-social de personnes en difficulte","112","2089","1769","48394368"
"Centre-Val de Loire","Ensemble","Hebergement medico-social de personnes handicapees","203","7398","6522","183818975"
"Centre-Val de Loire","Ensemble","Loisirs","177","366","330","7082396"
"Centre-Val de Loire","Ensemble","Sports","1623","2380","1943","49761054"
"Corse","Ensemble","Accueil d adultes handicapes ou pers. agees","9","199","164","s"
"Corse","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"Corse","Ensemble","Accueil d enfants handicapes","12","181","148","5199315"
"Corse","Ensemble","Accueil des jeunes enfants","18","s","s","3153472"
"Corse","Ensemble","Action sociale NCA","50","340","267","7589425"
"Corse","Ensemble","Aide a domicile","84","1700","1359","31454100"
"Corse","Ensemble","Aide par le travail","6","384","331","5767376"
"Corse","Ensemble","Autres enseignements","26","s","s","s"
"Corse","Ensemble","Enseignement culturel","10","s","s","s"
"Corse","Ensemble","Enseignement primaire/secondaire/supérieur","14","311","286","9770985"
"Corse","Ensemble","Formation continue d adultes","19","s","s","1453799"
"Corse","Ensemble","Hebergement medico-social de personnes agees","9","379","332","9999937"
"Corse","Ensemble","Hebergement medico-social de personnes en difficulte","15","298","315","9920461"
"Corse","Ensemble","Hebergement medico-social de personnes handicapees","12","429","358","10496652"
"Corse","Ensemble","Loisirs","21","75","68","1542780"
"Corse","Ensemble","Sports","162","254","264","6571862"
"Grand-Est","Ensemble","Accueil d adultes handicapes ou pers. agees","39","474","402","10514207"
"Grand-Est","Ensemble","Accueil d enfants et d adolescents","66","1056","898","25846906"
"Grand-Est","Ensemble","Accueil d enfants handicapes","95","2411","2002","59167059"
"Grand-Est","Ensemble","Accueil des jeunes enfants","481","5298","4459","106387140"
"Grand-Est","Ensemble","Action sociale NCA","866","13051","10435","266214034"
"Grand-Est","Ensemble","Aide a domicile","342","15653","11473","256321208"
"Grand-Est","Ensemble","Aide par le travail","173","14587","12737","211024667"
"Grand-Est","Ensemble","Autres enseignements","783","2245","1864","53394899"
"Grand-Est","Ensemble","Enseignement culturel","152","700","321","8226189"
"Grand-Est","Ensemble","Enseignement primaire/secondaire/supérieur","405","11918","10768","370092526"
"Grand-Est","Ensemble","Formation continue d adultes","206","1447","1344","43675002"
"Grand-Est","Ensemble","Hebergement medico-social de personnes agees","276","11808","10180","275457526"
"Grand-Est","Ensemble","Hebergement medico-social de personnes en difficulte","287","7442","6440","185003268"
"Grand-Est","Ensemble","Hebergement medico-social de personnes handicapees","348","14151","12356","345615568"
"Grand-Est","Ensemble","Loisirs","226","1356","1073","25531642"
"Grand-Est","Ensemble","Sports","1583","3285","2692","67841441"
"Guadeloupe","Ensemble","Accueil d adultes handicapes ou pers. agees","8","100","83","2408917"
"Guadeloupe","Ensemble","Accueil d enfants et d adolescents","4","27","26","s"
"Guadeloupe","Ensemble","Accueil d enfants handicapes","3","s","s","s"
"Guadeloupe","Ensemble","Accueil des jeunes enfants","63","572","552","12579361"
"Guadeloupe","Ensemble","Action sociale NCA","94","953","848","25667102"
"Guadeloupe","Ensemble","Aide a domicile","41","1305","1042","23229376"
"Guadeloupe","Ensemble","Aide par le travail","25","368","324","6973271"
"Guadeloupe","Ensemble","Autres enseignements","21","77","88","2337393"
"Guadeloupe","Ensemble","Enseignement culturel","9","s","s","s"
"Guadeloupe","Ensemble","Enseignement primaire/secondaire/supérieur","23","827","789","31461649"
"Guadeloupe","Ensemble","Formation continue d adultes","44","447","355","9746400"
"Guadeloupe","Ensemble","Hebergement medico-social de personnes agees","4","s","s","2719353"
"Guadeloupe","Ensemble","Hebergement medico-social de personnes en difficulte","24","247","219","7302770"
"Guadeloupe","Ensemble","Hebergement medico-social de personnes handicapees","24","812","692","23677668"
"Guadeloupe","Ensemble","Loisirs","10","s","s","s"
"Guadeloupe","Ensemble","Sports","83","s","s","s"
"Guyane","Ensemble","Accueil d adultes handicapes ou pers. agees","2","s","s","s"
"Guyane","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"Guyane","Ensemble","Accueil d enfants handicapes","4","77","71","2736578"
"Guyane","Ensemble","Accueil des jeunes enfants","20","s","s","6050070"
"Guyane","Ensemble","Action sociale NCA","31","257","241","7812258"
"Guyane","Ensemble","Aide a domicile","7","55","47","1260840"
