"","EPCI","jurid2","typo2","nb_etab","eff_31","eff_EQTP","rem_brut","non_annexe","dep_epci","nom_complet"
"1",200006682,"1-TOTAL-ESS","1-AGRICULTURE, INDUSTRIE, CONSTRUCTION",5,"74","70.83","2157436","73","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"2",200006682,"1-TOTAL-ESS","2-ACTIVITÉS FINANCIÈRES ET D'ASSURANCE",18,"105","103.5","5081760","104","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"3",200006682,"1-TOTAL-ESS","3-ENSEIGNEMENT",11,"191","146.19","4765771","171","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"4",200006682,"1-TOTAL-ESS","4-SANTÉ HUMAINE",4,"30","23.42","1052944","29","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"5",200006682,"1-TOTAL-ESS","5-ACTION SOCIALE",19,"759","579.92","15234272","723","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"6",200006682,"1-TOTAL-ESS","5A-HEBERGEMENT MEDICO-SOCIAL ET SOCIAL",12,"475","391.18","10920167","454","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"7",200006682,"1-TOTAL-ESS","5B-AIDE A DOMICILE",2,"s","s","s","s","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"8",200006682,"1-TOTAL-ESS","5C-AIDE PAR LE TRAVAIL",1,"s","s","s","s","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"9",200006682,"1-TOTAL-ESS","5E-AUTRES ACTIONS SOCIALES",4,"96","76.66","2134462","95","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"10",200006682,"1-TOTAL-ESS","6-ARTS, SPECTACLES",11,"10","6.08","170838","9","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"11",200006682,"1-TOTAL-ESS","7-SPORT ET LOISIRS",25,"82","33.39","814199","52","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"12",200006682,"1-TOTAL-ESS","8-NON-CLASSES",32,"61","32.43","1082741","33","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"13",200006682,"1-TOTAL-ESS","9-SERVICES DIVERS",24,"197","195.47","7243032","196","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"14",200006682,"1-TOTAL-ESS","TOUS SECTEURS",149,"1509","1191.23","37602993","1390","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"15",200006682,"2-TOTAL-ASSOCIATIONS","1-AGRICULTURE, INDUSTRIE, CONSTRUCTION",3,"13","12.23","264155","13","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"16",200006682,"2-TOTAL-ASSOCIATIONS","3-ENSEIGNEMENT",11,"191","146.19","4765771","171","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"17",200006682,"2-TOTAL-ASSOCIATIONS","4-SANTÉ HUMAINE",4,"30","23.42","1052944","29","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"18",200006682,"2-TOTAL-ASSOCIATIONS","5-ACTION SOCIALE",17,"709","536.31","13994933","676","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"19",200006682,"2-TOTAL-ASSOCIATIONS","5A-HEBERGEMENT MEDICO-SOCIAL ET SOCIAL",11,"437","357.13","9962116","418","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"20",200006682,"2-TOTAL-ASSOCIATIONS","5B-AIDE A DOMICILE",2,"s","s","s","s","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"21",200006682,"2-TOTAL-ASSOCIATIONS","5C-AIDE PAR LE TRAVAIL",1,"s","s","s","s","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"22",200006682,"2-TOTAL-ASSOCIATIONS","5E-AUTRES ACTIONS SOCIALES",3,"84","67.1","1853174","84","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"23",200006682,"2-TOTAL-ASSOCIATIONS","6-ARTS, SPECTACLES",11,"10","6.08","170838","9","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"24",200006682,"2-TOTAL-ASSOCIATIONS","7-SPORT ET LOISIRS",25,"82","33.39","814199","52","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"25",200006682,"2-TOTAL-ASSOCIATIONS","8-NON-CLASSES",32,"61","32.43","1082741","33","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"26",200006682,"2-TOTAL-ASSOCIATIONS","9-SERVICES DIVERS",12,"118","110.9","4058586","117","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
