"REG","typo_Mut","typo_Mut_det","sexe","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","Ensemble","136906"
"France entière","Ensemble","Ensemble","Ensemble","Aides","2952"
"France entière","Ensemble","Ensemble","Ensemble","Apprentis","917"
"France entière","Ensemble","Ensemble","Ensemble","Ordinaires","132860"
"France entière","Ensemble","Ensemble","Ensemble","Stagiaires","177"
"France entière","Ensemble","Ensemble","Femmes","Ensemble","100584"
"France entière","Ensemble","Ensemble","Hommes","Ensemble","36322"
"France entière","Ensemble","Ensemble","Femmes","Aides","2025"
"France entière","Ensemble","Ensemble","Femmes","Apprentis","566"
"France entière","Ensemble","Ensemble","Femmes","Ordinaires","97882"
"France entière","Ensemble","Ensemble","Femmes","Stagiaires","111"
"France entière","Ensemble","Ensemble","Hommes","Aides","927"
"France entière","Ensemble","Ensemble","Hommes","Apprentis","351"
"France entière","Ensemble","Ensemble","Hommes","Ordinaires","34978"
"France entière","Ensemble","Ensemble","Hommes","Stagiaires","66"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","Ensemble","7591"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Ensemble",NA
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Ensemble",NA
"France entière","Ensemble","Assurances","Ensemble","Ensemble","84186"
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","Ensemble","14539"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","Aides","198"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","Apprentis",NA
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","Ordinaires","7378"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","Stagiaires",NA
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Aides","39"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Apprentis",NA
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Ordinaires",NA
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Ordinaires",NA
"France entière","Ensemble","Assurances","Ensemble","Aides","1698"
"France entière","Ensemble","Assurances","Ensemble","Apprentis",NA
"France entière","Ensemble","Assurances","Ensemble","Ordinaires","81659"
"France entière","Ensemble","Assurances","Ensemble","Stagiaires",NA
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","Aides","693"
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","Apprentis",NA
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","Ordinaires","13772"
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","Stagiaires",NA
"France entière","Ensemble","Action sociale sans hebergement","Femmes","Ensemble","6224"
"France entière","Ensemble","Action sociale sans hebergement","Hommes","Ensemble","1367"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Ensemble",NA
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Ensemble",NA
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Ensemble",NA
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Ensemble",NA
"France entière","Ensemble","Assurances","Femmes","Ensemble","58123"
"France entière","Ensemble","Assurances","Hommes","Ensemble","26063"
