"DEP","ESS","famille","typo_A","typo_A_det","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","2259841","1802589","22854619","21221804","7,62E+11"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","8773","4881","90254","77186","1874439084"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","8436","6522","248839","179305","3982913604"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2353","567","166145","141762","2498494420"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres actions sociales","16353","9796","320986","273336","7679946347"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","17004","6852","715335","632493","17732762365"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","52919","28618","1541559","1304082","33768555820"
"France entière","ESS + Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","97673","61797","872465","835301","47446483733"
"France entière","ESS + Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","99203","97198","234781","240247","6188190039"
"France entière","ESS + Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","28667","26327","118404","125408","4479888257"
"France entière","ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","100652","45534","1655301","1516052","53770331093"
"France entière","ESS + Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","197071","173528","954169","901688","23066489384"
"France entière","ESS + Hors ESS","Ensemble","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","388006","340075","4472417","4313373","1,64E+11"
"France entière","ESS + Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","46139","40778","175981","151326","4592147259"
"France entière","ESS + Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","83947","72430","1625013","1471859","49402413647"
"France entière","ESS + Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","1117041","871133","11045709","10224101","3,70E+11"
"France entière","ESS + Hors ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","48523","45171","158820","138366","4796103730"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Accueil des jeunes enfants","8773","4881","90254","77186","1874439084"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide a domicile","8436","6522","248839","179305","3982913604"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide par le travail","2353","567","166145","141762","2498494420"
