"nom_jurid_2","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"Ensemble","Toutes entreprises","208084","154398","2312862","2029665","64277957222"
"Ensemble","1 - Micro entreprise","157048","125102","302077","301917","9457906536"
"Ensemble","2 - Petites entreprises","39351","23246","760882","645008","19942949032"
"Ensemble","3 - Moyennes entreprises","10959","5632","894784","763931","22460462047"
"Ensemble","4 - Grandes entreprises","726","418","355119","318810","12416639607"
"Association","Toutes entreprises","170659","140436","1630359","1394990","40905217593"
"Association d insertion par l economique","Toutes entreprises","654","498","18700","14006","308927227"
"Association reconnue d utilite publique","Toutes entreprises","3911","540","121676","105896","2903515933"
"Autre cooperative","Toutes entreprises","5143","1637","68778","65403","2779017851"
"Autre mutuelle","Toutes entreprises","34","11","483","432","17381271"
"Cooperative HLM","Toutes entreprises","59","44","1381","1306","53205322"
"Cooperative agricole","Toutes entreprises","5185","2874","65590","64819","2328710796"
"Cooperative bancaire","Toutes entreprises","6799","1599","113709","112992","5334745299"
"Cooperative d artisans","Toutes entreprises","298","252","3181","2988","95984116"
"Cooperative de commerçants detaillants","Toutes entreprises","66","52","3402","3485","124625753"
"Cooperative de consommateurs","Toutes entreprises","294","61","5179","4795","126879126"
"Cooperative de transport","Toutes entreprises","48","42","308","289","8171220"
"Cooperative maritime","Toutes entreprises","78","54","543","507","18649590"
"Fondation","Toutes entreprises","1677","498","88862","79555","2665122281"
"Groupement d employeurs","Toutes entreprises","3965","3856","27517","30239","772267180"
"Mutuelle d assurance","Toutes entreprises","2014","92","48526","45255","2183202228"
"Mutuelle de sante","Toutes entreprises","5429","559","87896","78221","2843378916"
"SCOP","Toutes entreprises","1771","1293","26772","24487","808955520"
"Association","1 - Micro entreprise","130813","114997","218660","213728","6199004784"
"Association","2 - Petites entreprises","31159","20406","599421","497190","14821168749"
"Association","3 - Moyennes entreprises","8321","4778","662331","557911","15821812674"
"Association","4 - Grandes entreprises","366","255","149947","126161","4063231386"
"Association d insertion par l economique","1 - Micro entreprise","176","109","373","619","15032007"
"Association d insertion par l economique","2 - Petites entreprises","309","245","6733","5372","120341209"
"Association d insertion par l economique","3 - Moyennes entreprises","164","140","10470","7216","156682705"
"Association d insertion par l economique","4 - Grandes entreprises","5","4","1124","799","16871306"
"Association reconnue d utilite publique","1 - Micro entreprise","1654","300","5467","5426","159959451"
"Association reconnue d utilite publique","2 - Petites entreprises","1455","135","33452","28704","839034908"
