"REG","typo_Coop","typo_Coop_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","20622","300698","292623","12295881971"
"France entière","Ensemble","Activites de services financiers et d assurances","41","1030","998","50853168"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","10621","163832","162335","7747966103"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","10662","164862","163333","7798819271"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","815","6542","6280","219408475"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","1497","16350","15004","473384970"
"France entière","COMMERCE (GZ)","Ensemble","3473","49467","48479","1700316232"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2278","47618","45593","1604793905"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","1897","15859","13933","499159118"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","41","1030","998","50853168"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","10621","163832","162335","7747966103"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","2478","35962","34624","1437260189"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","1146","14053","13645","572372489"
"Bretagne","Ensemble","Ensemble","1425","27993","27415","1052964353"
"Centre-Val de Loire","Ensemble","Ensemble","958","13170","12981","541519352"
"Corse","Ensemble","Ensemble","61","921","861","41894239"
"Grand-Est","Ensemble","Ensemble","2185","30051","29309","1275141901"
"Guadeloupe","Ensemble","Ensemble","91","840","849","44037340"
"Guyane","Ensemble","Ensemble","21","157","139","6371811"
"Hauts-de-France","Ensemble","Ensemble","1505","18080","17500","745708593"
"Ile-de-France","Ensemble","Ensemble","1818","34383","33268","1693447328"
"La Réunion","Ensemble","Ensemble","149","2374","2104","94171144"
"Martinique","Ensemble","Ensemble","98","947","936","50161935"
"Normandie","Ensemble","Ensemble","1134","15913","15567","628906735"
"Nouvelle-Aquitaine","Ensemble","Ensemble","2310","35747","34941","1336957993"
"Occitanie","Ensemble","Ensemble","2346","28696","28244","1124474507"
"Pays de la Loire","Ensemble","Ensemble","1734","26269","25360","1003871604"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","1163","15142","14881","646620458"
"Auvergne-Rhône-Alpes","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"Auvergne-Rhône-Alpes","Ensemble","Activites des services financiers hors assurance et caisses","1302","s","s","s"
"Bourgogne-Franche-Comté","Ensemble","Activites des services financiers hors assurance et caisses","627","8389","8271","384279482"
"Bretagne","Ensemble","Activites de services financiers et d assurances","7","12","10","390584"
"Bretagne","Ensemble","Activites des services financiers hors assurance et caisses","451","13573","13393","599450807"
"Centre-Val de Loire","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"Centre-Val de Loire","Ensemble","Activites des services financiers hors assurance et caisses","545","s","s","s"
"Corse","Ensemble","Activites des services financiers hors assurance et caisses","22","540","531","28674679"
"Grand-Est","Ensemble","Activites de services financiers et d assurances","4","s","s","s"
"Grand-Est","Ensemble","Activites des services financiers hors assurance et caisses","1317","s","s","s"
"Guadeloupe","Ensemble","Activites des services financiers hors assurance et caisses","58","707","721","39688727"
"Guyane","Ensemble","Activites des services financiers hors assurance et caisses","11","99","98","4979187"
"Hauts-de-France","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"Hauts-de-France","Ensemble","Activites des services financiers hors assurance et caisses","940","s","s","s"
"Ile-de-France","Ensemble","Activites de services financiers et d assurances","7","s","s","s"
"Ile-de-France","Ensemble","Activites des services financiers hors assurance et caisses","1214","s","s","s"
"La Réunion","Ensemble","Activites des services financiers hors assurance et caisses","77","1052","1051","60287151"
"Martinique","Ensemble","Activites des services financiers hors assurance et caisses","74","854","852","47771855"
"Normandie","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"Normandie","Ensemble","Activites des services financiers hors assurance et caisses","553","s","s","s"
"Nouvelle-Aquitaine","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"Nouvelle-Aquitaine","Ensemble","Activites des services financiers hors assurance et caisses","1040","s","s","s"
"Occitanie","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"Occitanie","Ensemble","Activites des services financiers hors assurance et caisses","1031","s","s","s"
