"DEP","typo_Coop","typo_Coop_det","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","300698"
"France entière","Ensemble","Ensemble","Aides","6055"
"France entière","Ensemble","Ensemble","Apprentis","4484"
"France entière","Ensemble","Ensemble","Ordinaires","289554"
"France entière","Ensemble","Ensemble","Stagiaires","605"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","1030"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","163832"
"France entière","Ensemble","NC","Ensemble","135836"
"France entière","Ensemble","Activites de services financiers et d assurances","Aides","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Ordinaires","995"
"France entière","Ensemble","Activites de services financiers et d assurances","Stagiaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Aides","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Apprentis","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ordinaires","157423"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Stagiaires","s"
"France entière","Ensemble","NC","Aides","2529"
"France entière","Ensemble","NC","Apprentis","s"
"France entière","Ensemble","NC","Ordinaires","131136"
"France entière","Ensemble","NC","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","164862"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","6542"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","16350"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","49467"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","47618"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","15859"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Aides","3526"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Apprentis","2398"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ordinaires","158418"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Stagiaires","520"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ordinaires","6380"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Aides","466"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ordinaires","15764"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Stagiaires","s"
"France entière","COMMERCE (GZ)","Ensemble","Aides","636"
"France entière","COMMERCE (GZ)","Ensemble","Apprentis","616"
"France entière","COMMERCE (GZ)","Ensemble","Ordinaires","48199"
"France entière","COMMERCE (GZ)","Ensemble","Stagiaires","16"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Aides","1044"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Apprentis","1056"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ordinaires","45490"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Stagiaires","28"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Aides","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Apprentis","207"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ordinaires","15303"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","1030"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","163832"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Ensemble","6542"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Ensemble","16350"
"France entière","COMMERCE (GZ)","NC","Ensemble","49467"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Ensemble","47618"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Ensemble","15859"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ordinaires","995"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ordinaires","157423"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Stagiaires","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Ordinaires","6380"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Aides","466"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Ordinaires","15764"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Stagiaires","s"
"France entière","COMMERCE (GZ)","NC","Aides","636"
"France entière","COMMERCE (GZ)","NC","Apprentis","616"
