"DEP","typo_Mut","typo_Mut_det","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","136906"
"France entière","Ensemble","Ensemble","Aides","2952"
"France entière","Ensemble","Ensemble","Apprentis","917"
"France entière","Ensemble","Ensemble","Ordinaires","132860"
"France entière","Ensemble","Ensemble","Stagiaires","177"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","7591"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","s"
"France entière","Ensemble","Assurances","Ensemble","84186"
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","14539"
"France entière","Ensemble","Action sociale sans hebergement","Aides","198"
"France entière","Ensemble","Action sociale sans hebergement","Apprentis","s"
"France entière","Ensemble","Action sociale sans hebergement","Ordinaires","7378"
"France entière","Ensemble","Action sociale sans hebergement","Stagiaires","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Aides","39"
"France entière","Ensemble","Activites de services financiers et d assurances","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Ordinaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ordinaires","s"
"France entière","Ensemble","Assurances","Aides","1698"
"France entière","Ensemble","Assurances","Apprentis","s"
"France entière","Ensemble","Assurances","Ordinaires","81659"
"France entière","Ensemble","Assurances","Stagiaires","s"
"France entière","Ensemble","Hebergement medico-social et social","Aides","693"
"France entière","Ensemble","Hebergement medico-social et social","Apprentis","s"
"France entière","Ensemble","Hebergement medico-social et social","Ordinaires","13772"
"France entière","Ensemble","Hebergement medico-social et social","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","22130"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","86196"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","6509"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","22071"
"France entière","ACTION SOCIALE (QB)","Ensemble","Aides","891"
"France entière","ACTION SOCIALE (QB)","Ensemble","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ordinaires","21150"
"France entière","ACTION SOCIALE (QB)","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Aides","1737"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ordinaires","83621"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Aides","124"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ordinaires","6302"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Stagiaires","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Aides","200"
"France entière","SANTE HUMAINE (QA)","Ensemble","Apprentis","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ordinaires","21787"
"France entière","SANTE HUMAINE (QA)","Ensemble","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ensemble","7591"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ensemble","14539"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","84186"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Aides","198"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Ordinaires","7378"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Aides","693"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Ordinaires","13772"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","Stagiaires","s"
