"DEP","nom_jurid_coop","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble des cooperatives","20622","300698","292623","12295881971"
"France entière","Autre cooperative","6042","81840","78140","3464652385"
"France entière","Cooperative HLM","60","1381","1306","53209397"
"France entière","Cooperative agricole","5185","65590","64819","2328710796"
"France entière","Cooperative bancaire","6778","112465","111778","5265091308"
"France entière","Cooperative d artisans","298","3181","2988","95984116"
"France entière","Cooperative de commerçants detaillants","66","3402","3485","124625753"
"France entière","Cooperative de consommateurs","295","5188","4804","127217971"
"France entière","Cooperative de transport","48","308","289","8171220"
"France entière","Cooperative maritime","78","543","507","18649590"
"France entière","SCOP","1772","26800","24509","809569435"
"1","Ensemble des cooperatives","192","1975","1898","75761702"
"2","Ensemble des cooperatives","167","2145","2091","88067068"
"3","Ensemble des cooperatives","122","1474","1418","54123462"
"4","Ensemble des cooperatives","63","654","642","23722572"
"5","Ensemble des cooperatives","65","609","596","20899485"
"6","Ensemble des cooperatives","215","3455","3390","162323144"
"7","Ensemble des cooperatives","146","1342","1302","49504145"
"8","Ensemble des cooperatives","111","1129","1077","40764877"
"9","Ensemble des cooperatives","60","670","660","23506436"
"10","Ensemble des cooperatives","145","2041","1997","82205439"
"11","Ensemble des cooperatives","204","2168","2297","83084254"
"12","Ensemble des cooperatives","176","1699","1638","63735838"
"13","Ensemble des cooperatives","401","4909","4743","216045351"
"14","Ensemble des cooperatives","265","4671","4540","185129150"
"15","Ensemble des cooperatives","75","892","867","33036696"
"16","Ensemble des cooperatives","132","2412","2362","90778752"
"17","Ensemble des cooperatives","321","4681","4591","171510942"
"18","Ensemble des cooperatives","91","1262","1255","48197770"
"19","Ensemble des cooperatives","114","1379","1326","46709989"
"21","Ensemble des cooperatives","196","3124","3072","142160059"
"22","Ensemble des cooperatives","298","7011","6795","234875324"
"23","Ensemble des cooperatives","73","493","469","17532280"
"24","Ensemble des cooperatives","150","2154","2085","77513560"
"25","Ensemble des cooperatives","237","3873","3685","159511633"
"26","Ensemble des cooperatives","233","3073","2993","120020218"
"27","Ensemble des cooperatives","154","1493","1486","62173586"
"28","Ensemble des cooperatives","198","2123","2122","87874786"
"29","Ensemble des cooperatives","435","8195","8136","335734879"
"2A","Ensemble des cooperatives","23","513","494","26399439"
"2B","Ensemble des cooperatives","38","408","367","15494800"
"30","Ensemble des cooperatives","245","2676","2697","109013315"
"31","Ensemble des cooperatives","483","5607","5359","229589890"
"32","Ensemble des cooperatives","97","1758","1690","62563250"
"33","Ensemble des cooperatives","340","6836","6631","292194774"
"34","Ensemble des cooperatives","361","4792","4725","202293661"
"35","Ensemble des cooperatives","394","8326","8124","314422380"
"36","Ensemble des cooperatives","78","981","977","37585763"
"37","Ensemble des cooperatives","262","3036","2999","124461684"
"38","Ensemble des cooperatives","365","5246","5091","212675782"
"39","Ensemble des cooperatives","150","1035","963","35024903"
"40","Ensemble des cooperatives","177","3126","3120","112478408"
"41","Ensemble des cooperatives","110","1457","1431","58601349"
"42","Ensemble des cooperatives","234","3640","3482","143431520"
"43","Ensemble des cooperatives","90","1069","1015","37063037"
"44","Ensemble des cooperatives","560","11122","10517","435379679"
"45","Ensemble des cooperatives","219","4311","4197","184798000"
"46","Ensemble des cooperatives","94","1358","1362","56427913"
"47","Ensemble des cooperatives","161","1962","2047","75940528"
"48","Ensemble des cooperatives","34","294","299","11402758"
"49","Ensemble des cooperatives","384","5589","5486","208643166"
"50","Ensemble des cooperatives","202","3772","3656","136615717"
"51","Ensemble des cooperatives","366","6051","5937","269438958"
"52","Ensemble des cooperatives","67","601","577","22550151"
"53","Ensemble des cooperatives","167","2231","2156","88288193"
"54","Ensemble des cooperatives","192","2282","2240","93201719"
"55","Ensemble des cooperatives","60","980","956","38771423"
"56","Ensemble des cooperatives","298","4461","4360","167931770"
"57","Ensemble des cooperatives","307","4171","4139","188083694"
"58","Ensemble des cooperatives","109","1016","993","39484715"
"59","Ensemble des cooperatives","634","5959","5751","257191632"
"60","Ensemble des cooperatives","138","1643","1615","68920958"
"61","Ensemble des cooperatives","150","1161","1151","43733826"
"62","Ensemble des cooperatives","436","4872","4663","188400850"
"63","Ensemble des cooperatives","192","3785","3812","163092486"
"64","Ensemble des cooperatives","222","3479","3433","139232853"
"65","Ensemble des cooperatives","75","843","809","32000153"
"66","Ensemble des cooperatives","156","2786","2843","110062570"
"67","Ensemble des cooperatives","483","6699","6541","303786766"
"68","Ensemble des cooperatives","307","4132","3986","168158882"
"69","Ensemble des cooperatives","471","7227","6791","307283758"
"70","Ensemble des cooperatives","60","570","566","22289320"
"71","Ensemble des cooperatives","210","2167","2131","87168923"
"72","Ensemble des cooperatives","235","2618","2618","102043092"
"73","Ensemble des cooperatives","161","2711","2540","97400099"
"74","Ensemble des cooperatives","197","3528","3415","143867284"
"75","Ensemble des cooperatives","501","15835","15174","868136102"
"76","Ensemble des cooperatives","363","4816","4733","201254456"
"77","Ensemble des cooperatives","189","3390","3338","143606429"
"78","Ensemble des cooperatives","223","2279","2240","103136164"
"79","Ensemble des cooperatives","224","3263","3086","100696951"
"80","Ensemble des cooperatives","130","3461","3380","143128085"
"81","Ensemble des cooperatives","212","2433","2352","87750190"
"82","Ensemble des cooperatives","149","1612","1512","53044279"
"83","Ensemble des cooperatives","251","2934","2876","124867007"
"84","Ensemble des cooperatives","168","2581","2633","98762899"
"85","Ensemble des cooperatives","388","4709","4583","169517474"
"86","Ensemble des cooperatives","233","2971","2921","107834626"
"87","Ensemble des cooperatives","163","2991","2869","104534330"
"88","Ensemble des cooperatives","147","1965","1859","68179992"
"89","Ensemble des cooperatives","142","1979","1951","74238000"
"90","Ensemble des cooperatives","42","289","285","12494936"
