"REG","ESS","famille","typo_B","typo_B_det","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","2302429","1831851","22909638","21447371","783084444311"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","9497","5233","94162","82258","2007234789"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","8692","6704","246666","187020","4158440506"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2239","513","162442","142371","2485180228"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres actions sociales","16404","9628","317730","274374","7894750915"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","14339","12922","122794","92294","2816711876"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","65118","16698","1450175","1336389","49021297213"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adulte","21598","16433","129450","113864","3835669702"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","17308","6738","728337","650252","18471806498"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","54140","28816","1549337","1336274","35017412936"
"France entière","ESS + Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","100564","62132","849524","817338","47658789918"
"France entière","ESS + Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","100605","98468","241935","246604","6444599731"
"France entière","ESS + Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","29316","26611","115290","121792","4576490382"
"France entière","ESS + Hors ESS","Ensemble","COMMERCE (GZ)","Ensemble","448719","323860","3091840","2871617","97086615197"
"France entière","ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","101055","46053","1702419","1542548","55673678791"
"France entière","ESS + Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","205574","179988","983360","948761","24609901129"
"France entière","ESS + Hors ESS","Ensemble","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","397988","348552","4486974","4338837","168101273667"
"France entière","ESS + Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","44427","39385","169812","147886","4630499223"
"France entière","ESS + Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","83972","71754","1604197","1465033","50083133228"
"France entière","ESS + Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","337651","267898","5276861","5004428","182989854348"
"France entière","ESS + Hors ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","349576","293168","2682886","2468966","101285858876"
"France entière","ESS + Hors ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","48842","45166","155203","137287","4926336885"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Accueil des jeunes enfants","9497","5233","94162","82258","2007234789"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide a domicile","8692","6704","246666","187020","4158440506"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide par le travail","2239","513","162442","142371","2485180228"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Autres actions sociales","16404","9628","317730","274374","7894750915"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Hebergement medico-social et social","17308","6738","728337","650252","18471806498"
"France entière","ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Autres enseignements","14339","12922","122794","92294","2816711876"
"France entière","ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","65118","16698","1450175","1336389","49021297213"
"France entière","ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Formation d adulte","21598","16433","129450","113864","3835669702"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","212718","154679","2320553","2059266","66697556102"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","2089711","1677172","20589085","19388105","716386888209"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4069","2622","42387","36190","888877742"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4382","3581","157396","119638","2716092520"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2050","433","151308","134598","2287425311"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Autres actions sociales","11790","6169","188846","158779","4579911516"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","7683","7117","34376","27064","900132343"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","9138","6454","250824","220002","7738746881"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adulte","3567","2335","32359","28364","963869566"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","11268","3193","405635","357148","10217314178"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","5428","2611","51775","46068","1118357047"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4310","3123","89270","67382","1442347986"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","189","80","11134","7773","197754917"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres actions sociales","4614","3459","128884","115594","3314839399"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","6656","5805","88418","65230","1916579533"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","55980","10244","1199351","1116388","41282550332"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adulte","18031","14098","97091","85500","2871800136"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","6040","3545","322702","293104","8254492320"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","33559","15998","945572","806352","20689621267"
"France entière","ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","18869","2147","254383","248903","11942892429"
"France entière","ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","1432","1256","11356","10803","328208167"
"France entière","ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","21869","20546","31016","34834","1215117867"
"France entière","ESS","Ensemble","COMMERCE (GZ)","Ensemble","4608","1353","54192","53189","1897682387"
"France entière","ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","20388","15906","317559","275430","9602748790"
"France entière","ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3414","2126","22884","24096","666578353"
"France entière","ESS","Ensemble","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2639","2157","53287","51475","1793400413"
"France entière","ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","43351","39082","160182","138923","4253322521"
"France entière","ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","4837","1944","182633","159152","6212212179"
"France entière","ESS","Ensemble","SERVICES DIVERS","Ensemble","9439","8253","60388","53121","1777852936"
"France entière","ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","14064","11296","150214","140943","4498316313"
"France entière","ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","34249","32615","76887","62043","1819602480"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","20581","12818","603765","529921","14327791669"
"France entière","Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","81695","59985","595141","568434","35715897489"
"France entière","Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","99173","97212","230579","235801","6116391564"
"France entière","Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","7447","6065","84274","86957","3361372515"
"France entière","Hors ESS","Ensemble","COMMERCE (GZ)","Ensemble","444111","322507","3037648","2818429","95188932810"
"France entière","Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","80667","30147","1384860","1267118","46070930001"
"France entière","Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","202160","177862","960476","924664","23943322776"
"France entière","Hors ESS","Ensemble","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","395349","346395","4433687","4287362","166307873254"
"France entière","Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","1076","303","9630","8963","377176702"
"France entière","Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","79135","69810","1421564","1305881","43870921049"
"France entière","Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","328212","259645","5216473","4951307","181212001412"
"France entière","Hors ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","335512","281872","2532672","2328023","96787542563"
"France entière","Hors ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","14593","12551","78316","75244","3106734405"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Accueil des jeunes enfants","4069","2622","42387","36190","888877742"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Aide a domicile","4382","3581","157396","119638","2716092520"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Aide par le travail","2050","433","151308","134598","2287425311"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Autres actions sociales","11790","6169","188846","158779","4579911516"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Hebergement medico-social et social","11268","3193","405635","357148","10217314178"
"France entière","ESS","Ensemble","ENSEIGNEMENT (PZ)","Autres enseignements","7683","7117","34376","27064","900132343"
"France entière","ESS","Ensemble","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","9138","6454","250824","220002","7738746881"
"France entière","ESS","Ensemble","ENSEIGNEMENT (PZ)","Formation d adulte","3567","2335","32359","28364","963869566"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Accueil des jeunes enfants","5428","2611","51775","46068","1118357047"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide a domicile","4310","3123","89270","67382","1442347986"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide par le travail","189","80","11134","7773","197754917"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Autres actions sociales","4614","3459","128884","115594","3314839399"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Hebergement medico-social et social","6040","3545","322702","293104","8254492320"
"France entière","Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Autres enseignements","6656","5805","88418","65230","1916579533"
"France entière","Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","55980","10244","1199351","1116388","41282550332"
"France entière","Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Formation d adulte","18031","14098","97091","85500","2871800136"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Ensemble","23880","7982","303916","297381","12826013031"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Ensemble","7329","636","132915","122342","5064427368"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Ensemble","179565","145526","1787426","1553201","45866553829"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Ensemble","1944","535","96296","86341","2940561874"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","1948980","1612740","14938337","14129372","536290114266"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Ensemble","140731","64432","5650748","5258733","180096773943"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Accueil des jeunes enfants","53","22","s","s","s"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Aide a domicile","37","30","1482","1007","21892264"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Aide par le travail","6","2","s","s","s"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Autres actions sociales","37","25","378","360","8805605"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Autres enseignements","31","26","229","191","5686986"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","6","6","101","79","2771599"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Formation d adulte","225","102","2220","1948","59526014"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Hebergement medico-social et social","15","15","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Accueil des jeunes enfants","197","18","1753","1553","36808946"
