"REG","nom_jurid_coop","nb_poste"
"France entière","Ensemble des cooperatives","303916"
"France entière","Autre cooperative","82661"
"France entière","Cooperative HLM","1386"
"France entière","Cooperative agricole","64638"
"France entière","Cooperative bancaire","115297"
"France entière","Cooperative d artisans","3280"
"France entière","Cooperative de commerçants detaillants","3400"
"France entière","Cooperative de consommateurs","5015"
"France entière","Cooperative de transport","365"
"France entière","Cooperative maritime","506"
"France entière","SCOP","27368"
"Auvergne-Rhône-Alpes","Ensemble des cooperatives","35465"
"Bourgogne-Franche-Comté","Ensemble des cooperatives","14112"
"Bretagne","Ensemble des cooperatives","27813"
"Centre-Val de Loire","Ensemble des cooperatives","13720"
"Corse","Ensemble des cooperatives","1047"
"Grand-Est","Ensemble des cooperatives","29346"
"Guadeloupe","Ensemble des cooperatives","1053"
"Guyane","Ensemble des cooperatives","177"
"Hauts-de-France","Ensemble des cooperatives","19638"
"Ile-de-France","Ensemble des cooperatives","34248"
"La Réunion","Ensemble des cooperatives","3050"
"Martinique","Ensemble des cooperatives","1072"
"Normandie","Ensemble des cooperatives","15738"
"Nouvelle-Aquitaine","Ensemble des cooperatives","35268"
"Occitanie","Ensemble des cooperatives","28410"
"Pays de la Loire","Ensemble des cooperatives","26152"
"Provence-Alpes-Côte d'Azur","Ensemble des cooperatives","17607"
"Auvergne-Rhône-Alpes","Autre cooperative","14101"
"Auvergne-Rhône-Alpes","Cooperative HLM","146"
"Auvergne-Rhône-Alpes","Cooperative agricole","5867"
"Auvergne-Rhône-Alpes","Cooperative bancaire","11817"
"Auvergne-Rhône-Alpes","Cooperative d artisans","290"
"Auvergne-Rhône-Alpes","Cooperative de commerçants detaillants","303"
"Auvergne-Rhône-Alpes","Cooperative de consommateurs","96"
"Auvergne-Rhône-Alpes","Cooperative de transport","42"
"Auvergne-Rhône-Alpes","SCOP","2803"
"Bourgogne-Franche-Comté","Autre cooperative","4178"
"Bourgogne-Franche-Comté","Cooperative agricole","3914"
"Bourgogne-Franche-Comté","Cooperative bancaire","4946"
"Bourgogne-Franche-Comté","Cooperative d artisans","113"
"Bourgogne-Franche-Comté","Cooperative de commerçants detaillants","s"
"Bourgogne-Franche-Comté","Cooperative de consommateurs","103"
"Bourgogne-Franche-Comté","Cooperative de transport","s"
"Bourgogne-Franche-Comté","SCOP","793"
"Bretagne","Autre cooperative","10180"
"Bretagne","Cooperative HLM","s"
"Bretagne","Cooperative agricole","8671"
"Bretagne","Cooperative bancaire","5255"
"Bretagne","Cooperative d artisans","542"
"Bretagne","Cooperative de consommateurs","609"
"Bretagne","Cooperative de transport","s"
"Bretagne","Cooperative maritime","163"
"Bretagne","SCOP","2237"
"Centre-Val de Loire","Autre cooperative","2088"
"Centre-Val de Loire","Cooperative HLM","s"
"Centre-Val de Loire","Cooperative agricole","3257"
"Centre-Val de Loire","Cooperative bancaire","7141"
"Centre-Val de Loire","Cooperative d artisans","138"
"Centre-Val de Loire","Cooperative de commerçants detaillants","s"
"Centre-Val de Loire","Cooperative de consommateurs","278"
"Centre-Val de Loire","Cooperative de transport","13"
"Centre-Val de Loire","SCOP","770"
"Corse","Autre cooperative","191"
"Corse","Cooperative HLM","s"
"Corse","Cooperative agricole","226"
"Corse","Cooperative bancaire","518"
"Corse","SCOP","s"
"Grand-Est","Autre cooperative","4631"
