"DEP","typo_Coop","typo_Coop_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","23880","303916","297381","12826013031"
"France entière","Ensemble","Activites de services financiers et d assurances","42","1409","1379","76978334"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","13815","164534","163312","8003546370"
"France entière","Ensemble","Assurances","8","1626","1579","72317658"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","13865","167569","166270","8152842362"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","820","6666","6470","230976589"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","1556","17194","15486","502271524"
"France entière","COMMERCE (GZ)","Ensemble","3365","48489","47953","1728309895"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2320","48049","46687","1685185903"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","1954","15949","14514","526426758"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","42","1409","1379","76978334"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","13815","164534","163312","8003546370"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","8","1626","1579","72317658"
"1","Ensemble","Ensemble","247","1888","1861","77360236"
"2","Ensemble","Ensemble","195","2078","2058","91182447"
"3","Ensemble","Ensemble","149","1462","1443","56695645"
"4","Ensemble","Ensemble","94","761","709","27457135"
"5","Ensemble","Ensemble","83","766","700","26136804"
"6","Ensemble","Ensemble","255","3417","3348","157304722"
"7","Ensemble","Ensemble","174","1310","1289","48878267"
"8","Ensemble","Ensemble","126","1026","1026","40081181"
"9","Ensemble","Ensemble","70","660","637","23227291"
"10","Ensemble","Ensemble","170","1927","1901","78938458"
"11","Ensemble","Ensemble","218","2213","2348","87512343"
"12","Ensemble","Ensemble","214","1676","1622","64298182"
"13","Ensemble","Ensemble","538","6617","6346","304016132"
"14","Ensemble","Ensemble","289","4681","4626","194512725"
"15","Ensemble","Ensemble","101","917","902","36419132"
"16","Ensemble","Ensemble","151","2236","2180","87207042"
"17","Ensemble","Ensemble","356","4712","4630","174710620"
"18","Ensemble","Ensemble","127","1271","1264","48418837"
"19","Ensemble","Ensemble","140","1322","1318","47224571"
"21","Ensemble","Ensemble","229","3106","3048","144989834"
"22","Ensemble","Ensemble","371","7147","6879","254593299"
"23","Ensemble","Ensemble","84","469","466","17857372"
"24","Ensemble","Ensemble","189","2072","1992","75518537"
"25","Ensemble","Ensemble","277","3214","3069","133638169"
"26","Ensemble","Ensemble","268","3059","3019","122725473"
"27","Ensemble","Ensemble","204","1483","1511","65472442"
"28","Ensemble","Ensemble","199","2086","2128","88407838"
"29","Ensemble","Ensemble","531","8433","8332","364379643"
"2A","Ensemble","Ensemble","30","473","452","23710352"
"2B","Ensemble","Ensemble","54","574","527","23747384"
"30","Ensemble","Ensemble","284","2650","2656","109780207"
"31","Ensemble","Ensemble","492","5679","5520","238303438"
"32","Ensemble","Ensemble","119","1689","1653","63406344"
"33","Ensemble","Ensemble","428","6903","6751","312011989"
"34","Ensemble","Ensemble","418","4868","4819","210004776"
"35","Ensemble","Ensemble","476","7756","7574","306338931"
"36","Ensemble","Ensemble","76","940","954","36413309"
"37","Ensemble","Ensemble","303","3218","3145","131989095"
