"DEP","typo_Asso","typo_Asso_det","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","1787426"
"France entière","Ensemble","Ensemble","Aides","138292"
"France entière","Ensemble","Ensemble","Apprentis","9983"
"France entière","Ensemble","Ensemble","Ordinaires","1632850"
"France entière","Ensemble","Ensemble","Stagiaires","6301"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ensemble","11242"
"France entière","Ensemble","Accueil d enfants et d adolescents","Ensemble","13126"
"France entière","Ensemble","Accueil d enfants handicapes","Ensemble","23816"
"France entière","Ensemble","Accueil des jeunes enfants","Ensemble","39532"
"France entière","Ensemble","Action sociale NCA","Ensemble","134485"
"France entière","Ensemble","Aide a domicile","Ensemble","152635"
"France entière","Ensemble","Aide par le travail","Ensemble","144738"
"France entière","Ensemble","Autres enseignements","Ensemble","24168"
"France entière","Ensemble","Enseignement culturel","Ensemble","7649"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Ensemble","244755"
"France entière","Ensemble","Formation continue d adultes","Ensemble","29621"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Ensemble","98878"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Ensemble","83222"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Ensemble","175894"
"France entière","Ensemble","Loisirs","Ensemble","16443"
"France entière","Ensemble","Sports","Ensemble","60266"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Aides","508"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Apprentis","49"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ordinaires","10641"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Stagiaires","44"
"France entière","Ensemble","Accueil d enfants et d adolescents","Aides","407"
"France entière","Ensemble","Accueil d enfants et d adolescents","Apprentis","64"
"France entière","Ensemble","Accueil d enfants et d adolescents","Ordinaires","12582"
"France entière","Ensemble","Accueil d enfants et d adolescents","Stagiaires","73"
"France entière","Ensemble","Accueil d enfants handicapes","Aides","310"
"France entière","Ensemble","Accueil d enfants handicapes","Apprentis","80"
"France entière","Ensemble","Accueil d enfants handicapes","Ordinaires","23274"
"France entière","Ensemble","Accueil d enfants handicapes","Stagiaires","152"
"France entière","Ensemble","Accueil des jeunes enfants","Aides","3145"
"France entière","Ensemble","Accueil des jeunes enfants","Apprentis","410"
"France entière","Ensemble","Accueil des jeunes enfants","Ordinaires","35905"
"France entière","Ensemble","Accueil des jeunes enfants","Stagiaires","72"
"France entière","Ensemble","Action sociale NCA","Aides","20879"
"France entière","Ensemble","Action sociale NCA","Apprentis","383"
"France entière","Ensemble","Action sociale NCA","Ordinaires","112807"
"France entière","Ensemble","Action sociale NCA","Stagiaires","416"
"France entière","Ensemble","Aide a domicile","Aides","2983"
"France entière","Ensemble","Aide a domicile","Apprentis","96"
"France entière","Ensemble","Aide a domicile","Ordinaires","149480"
"France entière","Ensemble","Aide a domicile","Stagiaires","76"
"France entière","Ensemble","Aide par le travail","Aides","44602"
"France entière","Ensemble","Aide par le travail","Apprentis","173"
"France entière","Ensemble","Aide par le travail","Ordinaires","99784"
"France entière","Ensemble","Aide par le travail","Stagiaires","179"
"France entière","Ensemble","Autres enseignements","Aides","1066"
"France entière","Ensemble","Autres enseignements","Apprentis","183"
"France entière","Ensemble","Autres enseignements","Ordinaires","22895"
"France entière","Ensemble","Autres enseignements","Stagiaires","24"
"France entière","Ensemble","Enseignement culturel","Aides","142"
"France entière","Ensemble","Enseignement culturel","Apprentis","s"
"France entière","Ensemble","Enseignement culturel","Ordinaires","7475"
"France entière","Ensemble","Enseignement culturel","Stagiaires","s"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Aides","8907"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Apprentis","809"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Ordinaires","234914"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Stagiaires","125"
"France entière","Ensemble","Formation continue d adultes","Aides","1778"
"France entière","Ensemble","Formation continue d adultes","Apprentis","s"
"France entière","Ensemble","Formation continue d adultes","Ordinaires","27455"
"France entière","Ensemble","Formation continue d adultes","Stagiaires","s"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Aides","2901"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Apprentis","292"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Ordinaires","95623"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Stagiaires","62"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Aides","4008"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Apprentis","469"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Ordinaires","77957"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Stagiaires","788"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Aides","5609"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Apprentis","758"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Ordinaires","168011"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Stagiaires","1516"
"France entière","Ensemble","Loisirs","Aides","1670"
"France entière","Ensemble","Loisirs","Apprentis","132"
"France entière","Ensemble","Loisirs","Ordinaires","14631"
"France entière","Ensemble","Loisirs","Stagiaires","10"
"France entière","Ensemble","Sports","Aides","3382"
"France entière","Ensemble","Sports","Apprentis","1995"
"France entière","Ensemble","Sports","Ordinaires","54713"
"France entière","Ensemble","Sports","Stagiaires","176"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","877568"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","4649"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","29163"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Ensemble","61024"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","307642"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","21227"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Ensemble","157699"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","127373"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","124372"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","76709"
"France entière","ACTION SOCIALE (QB)","Ensemble","Aides","85352"
"France entière","ACTION SOCIALE (QB)","Ensemble","Apprentis","2774"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ordinaires","786064"
"France entière","ACTION SOCIALE (QB)","Ensemble","Stagiaires","3378"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Aides","1003"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ordinaires","3582"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Stagiaires","s"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Aides","1664"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Apprentis","242"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Ordinaires","27159"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Stagiaires","98"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Aides","3662"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Apprentis","298"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Ordinaires","55824"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Stagiaires","1240"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Aides","11988"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Apprentis","1260"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Ordinaires","294090"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Stagiaires","304"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Aides","1292"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Apprentis","s"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ordinaires","19682"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Stagiaires","s"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Aides","17595"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Apprentis","1035"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Ordinaires","138630"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Stagiaires","439"
"France entière","SANTE HUMAINE (QA)","Ensemble","Aides","1369"
"France entière","SANTE HUMAINE (QA)","Ensemble","Apprentis","258"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ordinaires","125377"
"France entière","SANTE HUMAINE (QA)","Ensemble","Stagiaires","369"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Aides","9315"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Apprentis","1722"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ordinaires","113098"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Stagiaires","237"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Aides","5052"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Apprentis","2127"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Ordinaires","69344"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Stagiaires","186"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","Ensemble","11242"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","Ensemble","13126"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","Ensemble","23816"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Ensemble","39532"
"France entière","ACTION SOCIALE (QB)","Action sociale NCA","Ensemble","134485"
"France entière","ACTION SOCIALE (QB)","Aide a domicile","Ensemble","152635"
"France entière","ACTION SOCIALE (QB)","Aide par le travail","Ensemble","144738"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes agees","Ensemble","98878"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes en difficulte","Ensemble","83222"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes handicapees","Ensemble","175894"
"France entière","ENSEIGNEMENT (PZ)","Autres enseignements","Ensemble","24168"
"France entière","ENSEIGNEMENT (PZ)","Enseignement culturel","Ensemble","7649"
"France entière","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","Ensemble","244755"
"France entière","ENSEIGNEMENT (PZ)","Formation continue d adultes","Ensemble","29621"
"France entière","SPORTS ET LOISIRS (RZ2)","Loisirs","Ensemble","16443"
"France entière","SPORTS ET LOISIRS (RZ2)","Sports","Ensemble","60266"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","Aides","508"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","Apprentis","49"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","Ordinaires","10641"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","Stagiaires","44"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","Aides","407"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","Apprentis","64"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","Ordinaires","12582"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","Stagiaires","73"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","Aides","310"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","Apprentis","80"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","Ordinaires","23274"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","Stagiaires","152"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Aides","3145"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","Apprentis","410"
