"DEP","ESS_simp","typo_A","typo_A_det","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Tous établissements","2302429","1831851","22909638","21447371","783084444311"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","1931924","1599501","4474901","4363475","134315412725"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","296074","188273","5946300","5440993","187809980421"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","65111","38801","6259470","5798330","215981126122"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","9320","5276","6228967","5844573","244977925043"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","9497","5233","94162","82258","2007234789"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","8692","6704","246666","187020","4158440506"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","2239","513","162442","142371","2485180228"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","16404","9628","317730","274374","7894750915"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","17308","6738","728337","650252","18471806498"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","6233","3667","26987","24336","553232043"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","3168","1520","55442","47947","1174064573"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","87","46","7292","6582","178773624"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","9","0","4441","3393","101164549"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","2935","2278","8887","10449","237815910"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","4663","3637","111523","80234","1778197931"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","1016","726","87703","66407","1474083840"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","78","63","38553","29929","668342825"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","312","112","1098","1390","35970826"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","719","182","18853","16946","394243807"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","1155","206","125410","109229","1809119160"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","53","13","17081","14806","245846435"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","1 - Micro entreprise","9397","5902","29564","27677","823214745"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","2 - Petites entreprises","5649","2859","120978","100699","2935415903"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","3 - Moyennes entreprises","1248","804","114024","98289","2677334003"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","4 - Grandes entreprises","110","63","53164","47709","1458786264"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","3701","1269","15193","15772","462553602"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","7334","2423","211975","186818","5317118146"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","6198","2999","469275","418362","11812036289"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","75","47","31894","29300","880098461"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","Tous établissements","54140","28816","1549337","1336274","35017412936"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Tous établissements","100564","62132","849524","817338","47658789918"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Tous établissements","100605","98468","241935","246604","6444599731"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","Tous établissements","29316","26611","115290","121792","4576490382"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","Tous établissements","101055","46053","1702419","1542548","55673678791"
"France entière","ESS + Hors ESS","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Tous établissements","205574","179988","983360","948761","24609901129"
"France entière","ESS + Hors ESS","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Tous établissements","397988","348552","4486974","4338837","168101273667"
"France entière","ESS + Hors ESS","NON-CLASSES (94.99Z)","Ensemble","Tous établissements","44427","39385","169812","147886","4630499223"
"France entière","ESS + Hors ESS","SANTE HUMAINE (QA)","Ensemble","Tous établissements","83972","71754","1604197","1465033","50083133228"
"France entière","ESS + Hors ESS","SERVICES DIVERS","Ensemble","Tous établissements","1135946","884926","11051587","10345011","381362328421"
"France entière","ESS + Hors ESS","SPORTS ET LOISIRS (RZ2)","Ensemble","Tous établissements","48842","45166","155203","137287","4926336885"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","1 - Micro entreprise","22578","13228","81729","79623","2112787126"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","2 - Petites entreprises","21533","10621","518771","432645","11599040360"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","3 - Moyennes entreprises","9704","4781","803704","698869","17951346916"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","4 - Grandes entreprises","325","186","145133","125137","3354238534"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1 - Micro entreprise","89195","58068","229729","223732","11100943365"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","2 - Petites entreprises","9442","3428","170373","160992","9036021085"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","3 - Moyennes entreprises","1468","478","156228","149718","8939192380"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","4 - Grandes entreprises","459","158","293194","282896","18582633088"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","1 - Micro entreprise","96951","95224","150242","153233","3622052148"
