"REG","typo_Mut","typo_Mut_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","7329","132915","122342","5064427368"
"France entière","Ensemble","Action sociale sans hebergement","340","7023","6087","143049471"
"France entière","Ensemble","Activites de services financiers et d assurances","180","s","s","83085362"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","3","s","s","13686123"
"France entière","Ensemble","Assurances","4608","80750","76578","3479677868"
"France entière","Ensemble","Hebergement medico-social et social","376","14291","12612","347783143"
"France entière","ACTION SOCIALE (QB)","Ensemble","716","21314","18698","490832614"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","4791","82820","78492","3576449353"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","1090","6891","6413","216346550"
"France entière","SANTE HUMAINE (QA)","Ensemble","732","21890","18739","780798851"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","340","7023","6087","143049471"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","376","14291","12612","347783143"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","180","s","s","83085362"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","3","s","s","13686123"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","4608","80750","76578","3479677868"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","1081","18619","16689","651193528"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","498","8123","7412","231817433"
"Bretagne","Ensemble","Ensemble","382","8501","7779","276984937"
"Centre-Val de Loire","Ensemble","Ensemble","332","6540","6175","250709696"
"Corse","Ensemble","Ensemble","61","564","498","19428204"
"Grand-Est","Ensemble","Ensemble","508","6867","6489","272196786"
"Guadeloupe","Ensemble","Ensemble","36","s","s","s"
"Guyane","Ensemble","Ensemble","12","s","s","s"
"Hauts-de-France","Ensemble","Ensemble","493","5862","5594","223450955"
"Ile-de-France","Ensemble","Ensemble","691","23373","21551","1086272956"
"La Réunion","Ensemble","Ensemble","42","687","676","29905989"
"Martinique","Ensemble","Ensemble","30","505","479","21296943"
"Normandie","Ensemble","Ensemble","453","5898","5432","232544715"
"Nouvelle-Aquitaine","Ensemble","Ensemble","774","17805","16914","762740054"
"Occitanie","Ensemble","Ensemble","834","12809","11684","434745183"
"Pays de la Loire","Ensemble","Ensemble","505","8734","7762","274796616"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","597","7698","6878","281686807"
