"","EPCI","jurid2","typo2","nb_etab","non_annexe","eff_EQTP","rem_brut","dep_epci","nom_complet"
"1",200006682,"1-TOTAL-ESS","1-AGRICULTURE, INDUSTRIE, CONSTRUCTION",5,"64","63.98","1994709","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"2",200006682,"1-TOTAL-ESS","2-ACTIVITÉS FINANCIÈRES ET D'ASSURANCE",21,"159","156","7487761","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"3",200006682,"1-TOTAL-ESS","3-ENSEIGNEMENT",15,"175","151.13","4868900","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"4",200006682,"1-TOTAL-ESS","4-SANTÉ HUMAINE",5,"35","25.77","1174514","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"5",200006682,"1-TOTAL-ESS","5-ACTION SOCIALE",17,"722","632.4","15995176","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"6",200006682,"1-TOTAL-ESS","5A-HEBERGEMENT MEDICO-SOCIAL ET SOCIAL",11,"465","410.96","11561146","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"7",200006682,"1-TOTAL-ESS","5B-AIDE A DOMICILE",2,"s","s","s","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"8",200006682,"1-TOTAL-ESS","5C-AIDE PAR LE TRAVAIL",1,"s","s","s","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"9",200006682,"1-TOTAL-ESS","5E-AUTRES ACTIONS SOCIALES",3,"90","81","2233572","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"10",200006682,"1-TOTAL-ESS","6-ARTS, SPECTACLES",10,"10","5.64","173551","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
"11",200006682,"1-TOTAL-ESS","7-SPORT ET LOISIRS",26,"72","40.75","1034138","21","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay"
