"REG","typo_Coop","typo_Coop_det","sexe","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","Ensemble","303916"
"France entière","Ensemble","Ensemble","Ensemble","Aides","6457"
"France entière","Ensemble","Ensemble","Ensemble","Apprentis","4782"
"France entière","Ensemble","Ensemble","Ensemble","Ordinaires","292169"
"France entière","Ensemble","Ensemble","Ensemble","Stagiaires","508"
"France entière","Ensemble","Ensemble","Hommes","Ensemble","155788"
"France entière","Ensemble","Ensemble","Femmes","Ensemble","148128"
"France entière","Ensemble","Ensemble","Hommes","Aides","3228"
"France entière","Ensemble","Ensemble","Hommes","Apprentis","2892"
"France entière","Ensemble","Ensemble","Hommes","Ordinaires","149423"
"France entière","Ensemble","Ensemble","Hommes","Stagiaires","245"
"France entière","Ensemble","Ensemble","Femmes","Aides","3229"
"France entière","Ensemble","Ensemble","Femmes","Apprentis","1890"
"France entière","Ensemble","Ensemble","Femmes","Ordinaires","142746"
"France entière","Ensemble","Ensemble","Femmes","Stagiaires","263"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Ensemble","1409"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Ensemble","164534"
"France entière","Ensemble","Assurances","Ensemble","Ensemble","1626"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Aides","35"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Ordinaires","1368"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Stagiaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Aides","3774"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Apprentis","2480"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Ordinaires","157857"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Stagiaires","423"
"France entière","Ensemble","Assurances","Ensemble","Aides","93"
"France entière","Ensemble","Assurances","Ensemble","Apprentis","s"
"France entière","Ensemble","Assurances","Ensemble","Ordinaires","1495"
"France entière","Ensemble","Assurances","Ensemble","Stagiaires","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Ensemble","599"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Ensemble","810"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Ensemble","66706"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Ensemble","97828"
"France entière","Ensemble","Assurances","Hommes","Ensemble","515"
"France entière","Ensemble","Assurances","Femmes","Ensemble","1111"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Aides","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Ordinaires","580"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Aides","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Ordinaires","788"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Stagiaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Aides","1651"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Apprentis","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Ordinaires","63681"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Stagiaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Aides","2123"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Apprentis","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Ordinaires","94176"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Stagiaires","s"
"France entière","Ensemble","Assurances","Hommes","Aides","s"
"France entière","Ensemble","Assurances","Hommes","Apprentis","s"
"France entière","Ensemble","Assurances","Hommes","Ordinaires","470"
"France entière","Ensemble","Assurances","Hommes","Stagiaires","s"
"France entière","Ensemble","Assurances","Femmes","Aides","s"
"France entière","Ensemble","Assurances","Femmes","Apprentis","s"
"France entière","Ensemble","Assurances","Femmes","Ordinaires","1025"
"France entière","Ensemble","Assurances","Femmes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Ensemble","167569"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Ensemble","6666"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","Ensemble","17194"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","Ensemble","48489"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Ensemble","48049"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Ensemble","15949"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Aides","3902"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Apprentis","2521"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Ordinaires","160720"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Stagiaires","426"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Apprentis","135"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Ordinaires","6459"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","Aides","465"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","Apprentis","121"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","Ordinaires","16592"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","Stagiaires","16"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","Aides","s"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","Apprentis","635"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","Ordinaires","47237"
