"REG","typo_Asso","typo_Asso_det","sexe","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","Ensemble","1787426"
"France entière","Ensemble","Ensemble","Ensemble","Aides","138292"
"France entière","Ensemble","Ensemble","Ensemble","Apprentis","9983"
"France entière","Ensemble","Ensemble","Ensemble","Ordinaires","1632850"
"France entière","Ensemble","Ensemble","Ensemble","Stagiaires","6301"
"France entière","Ensemble","Ensemble","Femmes","Ensemble","1236105"
"France entière","Ensemble","Ensemble","Hommes","Ensemble","551321"
"France entière","Ensemble","Ensemble","Femmes","Aides","68157"
"France entière","Ensemble","Ensemble","Femmes","Apprentis","4962"
"France entière","Ensemble","Ensemble","Femmes","Ordinaires","1158591"
"France entière","Ensemble","Ensemble","Femmes","Stagiaires","4395"
"France entière","Ensemble","Ensemble","Hommes","Aides","70135"
"France entière","Ensemble","Ensemble","Hommes","Apprentis","5021"
"France entière","Ensemble","Ensemble","Hommes","Ordinaires","474259"
"France entière","Ensemble","Ensemble","Hommes","Stagiaires","1906"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ensemble","Ensemble","11242"
"France entière","Ensemble","Accueil d enfants et d adolescents","Ensemble","Ensemble","13126"
"France entière","Ensemble","Accueil d enfants handicapes","Ensemble","Ensemble","23816"
"France entière","Ensemble","Accueil des jeunes enfants","Ensemble","Ensemble","39532"
"France entière","Ensemble","Action sociale NCA","Ensemble","Ensemble","134485"
"France entière","Ensemble","Aide a domicile","Ensemble","Ensemble","152635"
"France entière","Ensemble","Aide par le travail","Ensemble","Ensemble","144738"
"France entière","Ensemble","Autres enseignements","Ensemble","Ensemble","24168"
"France entière","Ensemble","Enseignement culturel","Ensemble","Ensemble","7649"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Ensemble","Ensemble","244755"
"France entière","Ensemble","Formation continue d adultes","Ensemble","Ensemble","29621"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Ensemble","Ensemble","98878"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Ensemble","Ensemble","83222"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Ensemble","Ensemble","175894"
"France entière","Ensemble","Loisirs","Ensemble","Ensemble","16443"
"France entière","Ensemble","NC","Ensemble","Ensemble","526956"
"France entière","Ensemble","Sports","Ensemble","Ensemble","60266"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ensemble","Aides","508"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ensemble","Apprentis","49"
